longitude,latitude
139.118056,35.241528
-99.299255,39.361893
-99.334487,39.313244
-99.312515,39.381209
-99.312515,39.381209
-90.719535,29.59577
-93.791878,37.872257
-99.325054,39.35023
-81.236495,32.959048
-99.325054,39.35023
-97.14667,31.549333
-94.125774,37.253666
-84.436922,31.776881
-77.016291,38.904774
139.439048,35.713787
-99.325054,39.35023
-66.51812,18.223028
-99.325054,39.35023
-90.32456,38.612552
-77.966667,21.833333
-77.036366,38.895112
-66.047272,18.363414
-91.154551,30.450746
-69.77949,44.310624
-99.325054,39.35023
-81.236495,32.959048
-84.440002,31.76
-121.980003,38.5
-111.970001,33.080002
-84.45121,31.6814
-84.43,31.76
-99.160004,18.889999
-90.910004,33.419998
-91.18,30.41
-114.650002,32.689999
106.75,26.43
78.690002,10.85
-47.779999,-21.129999
-91.18,30.41
-75.1585,9.798583
-75.160861,9.800089
-75.1585,9.798583
-44.169998,-19.450001
-91.18,30.41
126.3335,33.241
127.490972,34.849417
-96.47445,15.68353
-95.78457,15.92524
-93.88278,16.54606
38.46893,-6.6628
11.99972,36.78247
38.97651,-5.44209
39.03614,-5.36264
92.77527,11.89111
-75.1257,8.27825
-66.42062,-17.66087
-96.47445,15.68353
-95.01524,16.59749
73.40144,34.06692
54.69107,36.88135
39.03614,-5.36264
-66.42062,-17.66087
-96.41293,15.71677
-96.47445,15.68353
-96.47445,15.68353
-95.78457,15.92524
-95.01524,16.59749
73.40144,34.06692
54.69107,36.88135
38.97651,-5.44209
39.03614,-5.36264
37.76269,-4.19894
-0.9,6.15
-39.8913,-18.0999
-38.0482,-9.8755
-39.1928,-8.4559
-38.92571,-7.30658
-39.0461,-4.8876
-75.8395,19.9756
-76.3049,20.7788
-78.8325,22.3496
-78.8325,22.3496
-78.8325,22.3496
-78.8325,22.3496
-78.8325,22.3496
-79.2159,22.3032
-79.2159,22.3032
-75.5033,6.2597
-73.825513,11.229639
-73.604129,11.261166
28.01028,-19.0999
-0.92,6.15
51.17332,24.90322
-40.7302,-20.6895
-38.92571,-7.30658
-38.9901,-5.6408
-39.0461,-4.8876
-78.8325,22.3496
-78.8325,22.3496
-78.8325,22.3496
-78.8325,22.3496
-78.8325,22.3496
-78.8325,22.3496
-79.2159,22.3032
-79.2159,22.3032
-79.2159,22.3032
-69.8964,-4.0083
-67.2908,-30.2063
28.01028,-19.0999
-82.4336,8.4868
121.285533,24.162593
-0.92,6.15
-0.92,6.15
-96.11039,15.79839
-40.7302,-20.6895
-39.0461,-4.8876
-38.88201,-4.47716
-64.52531,18.44507
-66.9484,17.9418
-75.8395,19.9756
-78.8325,22.3496
-78.8325,22.3496
-78.8325,22.3496
-78.8325,22.3496
-78.8325,22.3496
-78.8325,22.3496
-78.8325,22.3496
-79.2159,22.3032
-79.2159,22.3032
-79.2159,22.3032
-69.8964,-4.0083
-3.767194,8.762444
28.01028,-19.0999
-82.4336,8.4868
121.285533,24.162593
58.89833,22.92689
-96.47445,15.68353
-95.01524,16.59749
38.97651,-5.44209
92.77527,11.89111
-0.9,6.15
38.97651,-5.44209
39.03614,-5.36264
39.03614,-5.36264
106.753117,-6.5541
-59.6306,13.3286
-90.5515,19.77107
-39.5321,-15.8762
-75.1257,8.27825
-0.92,6.15
22.6203,-26.19122
25.51188,-25.13427
-96.11039,15.79839
-39.5321,-15.8762
-37.4904,-10.5932
