"","gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
"1154",3972201021,"9f0e1ca6-fb08-4c72-9a4a-1e3b7a528c10","4561762","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus flavus","","UNRANKED","SH1082739.09FU","SH1082739.09FU","","CU","Punta Alegre","","PRESENT",NA,"0870a77b-587c-4369-a8ed-bc3d347b8e1c",22.3496,-78.8325,NA,NA,NA,NA,NA,NA,2017-03-06,6,3,2017,11554305,5259820,"MATERIAL_SAMPLE","","","UDB01426720","","",NA,"CC0_1_0","Liis Tiirmann","","",NA,2023-05-09 02:22:21.229,"","GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
"1155",3972201020,"9f0e1ca6-fb08-4c72-9a4a-1e3b7a528c10","4561726","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus flavus","","UNRANKED","SH1082739.09FU","SH1082739.09FU","","CU","Punta Alegre","","PRESENT",NA,"0870a77b-587c-4369-a8ed-bc3d347b8e1c",22.3496,-78.8325,NA,NA,NA,NA,NA,NA,2017-03-06,6,3,2017,11554305,5259820,"MATERIAL_SAMPLE","","","UDB01426684","","",NA,"CC0_1_0","Liis Tiirmann","","",NA,2023-05-09 02:22:21.229,"","GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
"1156",3972201019,"9f0e1ca6-fb08-4c72-9a4a-1e3b7a528c10","4561663","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus flavus","","UNRANKED","SH1082739.09FU","SH1082739.09FU","","CU","Punta Alegre","","PRESENT",NA,"0870a77b-587c-4369-a8ed-bc3d347b8e1c",22.3496,-78.8325,NA,NA,NA,NA,NA,NA,2017-03-06,6,3,2017,11554305,5259820,"MATERIAL_SAMPLE","","","UDB01426621","","",NA,"CC0_1_0","Liis Tiirmann","","",NA,2023-05-09 02:22:21.228,"","GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
"1157",3972201017,"9f0e1ca6-fb08-4c72-9a4a-1e3b7a528c10","4561564","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus flavus","","UNRANKED","SH1082739.09FU","SH1082739.09FU","","CU","Cuba:Rancho Querete","","PRESENT",NA,"0870a77b-587c-4369-a8ed-bc3d347b8e1c",22.3032,-79.2159,NA,NA,NA,NA,NA,NA,2017-03-06,6,3,2017,11554305,5259820,"MATERIAL_SAMPLE","","","UDB01426522","","",NA,"CC0_1_0","Liis Tiirmann","","",NA,2023-05-09 02:22:21.228,"","GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
"1158",3972201015,"9f0e1ca6-fb08-4c72-9a4a-1e3b7a528c10","4561465","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus flavus","","UNRANKED","SH1082739.09FU","SH1082739.09FU","","CU","Cuba:Rancho Querete","","PRESENT",NA,"0870a77b-587c-4369-a8ed-bc3d347b8e1c",22.3032,-79.2159,NA,NA,NA,NA,NA,NA,2017-03-06,6,3,2017,11554305,5259820,"MATERIAL_SAMPLE","","","UDB01426424","","",NA,"CC0_1_0","Liis Tiirmann","","",NA,2023-05-09 02:22:21.228,"","GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
"1159",3972201014,"9f0e1ca6-fb08-4c72-9a4a-1e3b7a528c10","4561429","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus flavus","","UNRANKED","SH1082739.09FU","SH1082739.09FU","","CU","Playa Larga","","PRESENT",NA,"0870a77b-587c-4369-a8ed-bc3d347b8e1c",22.2795,-81.1901,NA,NA,NA,NA,NA,NA,2017-03-05,5,3,2017,11554305,5259820,"MATERIAL_SAMPLE","","","UDB01426388","","",NA,"CC0_1_0","Liis Tiirmann","","",NA,2023-05-09 02:22:21.228,"","GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
"1160",3972200923,"9f0e1ca6-fb08-4c72-9a4a-1e3b7a528c10","4557505","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus flavus","","UNRANKED","SH1082739.09FU","SH1082739.09FU","","CO","Antioquia:Medellin:Santa Elena:Vereda Mazo","","PRESENT",NA,"0870a77b-587c-4369-a8ed-bc3d347b8e1c",6.2597,-75.5033,NA,NA,NA,NA,NA,NA,2019-08-03,3,8,2019,11554305,5259820,"MATERIAL_SAMPLE","","","UDB01422530","","",NA,"CC0_1_0","Liis Tiirmann","","",NA,2023-05-09 02:22:21.219,"","GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
"1161",3972200866,"9f0e1ca6-fb08-4c72-9a4a-1e3b7a528c10","4555228","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus flavus","","UNRANKED","SH1082739.09FU","SH1082739.09FU","","ZW","Victoria Falls, Forest Hill.","","PRESENT",NA,"0870a77b-587c-4369-a8ed-bc3d347b8e1c",-19.0999,28.01028,NA,NA,NA,NA,NA,NA,2013-05-09,9,5,2013,11554305,5259820,"MATERIAL_SAMPLE","","","UDB01420271","","",NA,"CC0_1_0","Liis Tiirmann","","",NA,2023-05-09 02:22:21.214,"","GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
"1162",3972200844,"9f0e1ca6-fb08-4c72-9a4a-1e3b7a528c10","4554238","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus flavus","","UNRANKED","SH1082739.09FU","SH1082739.09FU","","IT","Palermo, Madonna Lume.","","PRESENT",NA,"0870a77b-587c-4369-a8ed-bc3d347b8e1c",37.96639,13.94333,NA,NA,NA,NA,NA,NA,2012-04-10,10,4,2012,11554305,5259820,"MATERIAL_SAMPLE","","","UDB01419285","","",NA,"CC0_1_0","Liis Tiirmann","","",NA,2023-05-09 02:22:21.211,"","GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
"1163",3972200825,"9f0e1ca6-fb08-4c72-9a4a-1e3b7a528c10","4553581","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus flavus","","UNRANKED","SH1082739.09FU","SH1082739.09FU","","TW","Heping","","PRESENT",NA,"0870a77b-587c-4369-a8ed-bc3d347b8e1c",24.162593,121.285533,NA,NA,NA,NA,NA,NA,2010-06-22,22,6,2010,11554305,5259820,"MATERIAL_SAMPLE","","","UDB01418628","","",NA,"CC0_1_0","Liis Tiirmann","","",NA,2023-05-09 02:22:21.209,"","GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
